Player,Category,Country,Role,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Capped/Uncapped,Last Auction Price Sold (in Crs),5 Wicket hauls,No of Catches,No of Stumpings,No of Run Outs
Shaik Rasheed,Domestic,India,Batsman,71,112.7,14.2,2,9,63,34,0,0,,,,,,,,,,,,21,Uncapped,0.3,,,,
Ayush Mhatre,Domestic,India,Batsman,240,188.98,34.29,11,31,127,41,0,1,,,,,,,,,,,,18,Uncapped,3,,,,
Aaron George,Domestic,India,Batsman,541,105.5,105,7,67,513,234,2,3,,,,,,,,,,,,19,Uncapped,0,,,,
Abhinav Manohar,Domestic,India,Batsman,292,124.26,15.37,14,23,235,91,0,0,,,,,,,,,,,,31,Uncapped,3.2,,,,
Steve Smith,International,Australia,Batsman,2122,126.9,34.51,46,201,1672,533,1,11,,,,,,,,,,,,36,Capped,2.2,,,,
Tim David,International,Australia,Batsman,846,173.4,32.54,60,54,488,147,0,1,,,,,,,,,,,,29,Capped,6,,,,
David Warner,International,Australia,Batsman,5542,140.4,40.54,192,558,3946,1391,2,56,,,,,,,,,,,,39,Capped,6.25,,,,
Travis Head,International,Australia,Batsman,1146,170,34.73,55,126,674,218,1,8,,,,,,,,,,,,32,Capped,14,,,,
Moises Henriques,International,Australia,Batsman,951,128,27.78,27,83,743,249,0,5,,,,,,,,,,,,39,Capped,4.2,,,,
Peter Handscomb,International,Australia,Batsman,1919,119.5,33,41,147,1606,491,1,7,,,,,,,,,,,,34,Capped,1.5,,,,
Nic Maddinson,International,Australia,Batsman,2036,124.8,21,94,170,1632,638,0,10,,,,,,,,,,,,34,Uncapped,1.3,,,,
Jake Fraser Mcgurk,International,Australia,Batsman,385,199.5,25.67,30,39,193,82,0,4,,,,,,,,,,,,23,Capped,4,,,,
Kurtis Patterson,International,Australia,Batsman,1247,120,21.95,31,107,31,378,0,4,,,,,,,,,,,,32,Uncapped,0.54,,,,
Chris Lynn,International,Australia,Batsman,1323,141.2,34.08,66,131,937,384,0,10,,,,,,,,,,,,35,Capped,2,,,,
D'Arcy Short,International,Australia,Batsman,3138,136.05,34.1,107,205,2387,500,2,23,,,,,,,,,,,,35,Capped,4,,,,
Harry Brook,International,England,Batsman,1755,150.6,37.58,79,136,1165,276,1,7,,,,,,,,,,,,27,Capped,5.65,,,,
Tom Banton,International,England,Batsman,3901,142.9,24.5,160,410,2729,1016,4,23,,,,,,,,,,,,27,Capped,2,,,,
James Vince,International,England,Batsman,9198,137.4,32.1,232,1030,6693,2076,6,58,,,,,,,,,,,,34,Capped,0.98,,,,
Jacob Bethell,International,England,Batsman,781,136.8,24.5,39,56,571,191,0,5,,,,,,,,,,,,22,Capped,2.6,,,,
Liam Dawson,International,England,Batsman,1797,123.5,18.2,61,132,1455,373,0,5,,,,,,,,,,,,36,Capped,1.55,,,,
Tom Moores,International,England,Batsman,2642,136.4,22.4,114,222,1937,523,0,12,,,,,,,,,,,,29,Capped,0.36,,,,
Dan Mousley,International,England,Batsman,1501,134.9,25.6,51,132,1113,346,0,11,,,,,,,,,,,,24,Capped,0.35,,,,
Tom Abell,International,England,Batsman,3531,134.2,28.3,77,337,2631,670,1,18,,,,,,,,,,,,31,Capped,1.2,,,,
Jordan Cox,International,England,Batsman,2825,135.4,27.1,106,225,2087,667,1,11,,,,,,,,,,,,25,Capped,0.75,,,,
Joe Denly,International,England,Batsman,3635,130.4,23.8,128,330,2787,707,4,13,,,,,,,,,,,,39,Capped,1,,,,
Alex Hales,International,England,Batsman,9529,148.3,29.4,419,1025,6425,2272,7,60,,,,,,,,,,,,37,Capped,1,,,,
Finn Allen,International,New Zealand,Batsman,3247,185.5,26.7,216,285,1750,582,2,7,,,,,,,,,,,,26,Capped,2,,,,
Mark Chapman,International,New Zealand,Batsman,1547,129.7,25.9,51,139,1193,401,0,9,,,,,,,,,,,,31,Capped,2.28,,,,
Tim Robinson,International,New Zealand,Batsman,979,141.5,22.1,36,94,692,255,1,7,,,,,,,,,,,,23,Capped,0.37,,,,
Bevon Jacobs,International,New Zealand,Batsman,764,149.2,21.8,46,53,512,172,0,6,,,,,,,,,,,,23,Capped,0.3,,,,
Kane Williamson,International,New Zealand,Batsman,2132,132.6,33.5,64,186,1697,584,0,18,,,,,,,,,,,,35,Capped,2,,,,
Dewald Brevis,International,South Africa,Batsman,2193,148.8,24.2,158,138,1474,543,2,11,,,,,,,,,,,,22,Capped,2.2,,,,
Tristan Stubbs,International,South Africa,Batsman,670,168.8,28.9,38,47,397,86,0,3,,,,,,,,,,,,25,Capped,10,,,,
Matthew Breetzke,International,South Africa,Batsman,3022,133.7,26.4,123,267,2260,762,0,21,,,,,,,,,,,,27,Capped,10,,,,
Faf du Plessis,International,South Africa,Batsman,4372,136.5,32.8,157,410,3203,1083,0,36,,,,,,,,,,,,41,Capped,2,,,,
Rassie Van der Dussen,International,South Africa,Batsman,4949,133.1,34.2,225,333,3717,1085,3,28,,,,,,,,,,,,37,Capped,1,,,,
Tony de Zorzi,International,South Africa,Batsman,924,114.6,31.7,22,93,806,304,0,2,,,,,,,,,,,,28,Capped,0.11,,,,
Keacy Carty,International,West Indies,Batsman,532,118,28.5,19,37,451,169,0,3,,,,,,,,,,,,28,Capped,0.05,,,,
Shimron Hetmyer,International,West Indies,Batsman,1488,151.8,25.1,93,91,980,320,0,5,,,,,,,,,,,,29,Capped,11,,,,
Johnson Charles,International,West Indies,Batsman,4772,136.8,23.6,247,459,3488,1348,1,30,,,,,,,,,,,,37,Capped,0.5,,,,
Brandon King,International,West Indies,Batsman,2535,131.5,27.3,129,251,1928,754,2,15,,,,,,,,,,,,31,Capped,0.1,,,,
Alick Athanaze,International,West Indies,Batsman,413,105.1,26.8,16,30,393,167,0,1,,,,,,,,,,,,27,Capped,0.75,,,,
Pathum Nissanka,International,Sri Lanka,Batsman,1075,138.7,29.1,32,114,775,270,1,8,,,,,,,,,,,,27,Capped,4,,,,
Charith Asalanka,International,Sri Lanka,Batsman,960,128.7,30.4,43,83,746,292,0,5,,,,,,,,,,,,28,Capped,0.75,,,,
Dasun Shanaka,International,Sri Lanka,Batsman,1790,133.7,24.9,97,118,1339,479,0,8,,,,,,,,,,,,34,Capped,0.75,,,,
Avishka Fernando,International,Sri Lanka,Batsman,2138,146.5,25.7,113,192,1459,542,1,17,,,,,,,,,,,,27,Capped,2.8,,,,
Shehan Jayasuriya,International,Sri Lanka,Batsman,446,101.4,22.4,12,39,440,174,0,2,,,,,,,,,,,,34,Capped,0.59,,,,
Ibrahim Zadran,International,Afghanistan,Batsman,1280,126.6,23.2,46,119,1011,363,0,9,,,,,,,,,,,,24,Capped,0.37,,,,
Darwish Rasooli,International,Afghanistan,Batsman,1361,140.7,27.5,0,105,967,295,0,10,,,,,,,,,,,,22,Uncapped,0,,,,
Shahidullah Kamal,International,Afghanistan,Batsman,917,122.1,26,31,68,751,222,0,4,,,,,,,,,,,,27,Uncapped,0,,,,
Zubaid Akbari,International,Afghanistan,Batsman,906,119.1,23.41,41,83,761,353,0,4,,,,,,,,,,,,25,Uncapped,0,,,,
Sediqullah Atal,International,Afghanistan,Batsman,1335,133.1,27.33,69,11,1003,407,0,9,,,,,,,,,,,,21,Uncapped,1.25,,,,
Tanzid Hasan,International,Bangladesh,Batsman,1294,136.4,28,78,95,949,397,3,7,,,,,,,,,,,,26,Capped,0.16,,,,
Parvez Hossain Emon,International,Bangladesh,Batsman,1076,129,28.36,66,80,834,369,1,6,,,,,,,,,,,,23,Capped,0.26,,,,
Max O'Dowd,International,Netherlands,Batsman,2026,122.1,29.06,51,215,1659,625,1,14,,,,,,,,,,,,31,Capped,0,,,,
Michael Levitt,International,Netherlands,Batsman,908,144.8,27.8,51,76,627,259,1,6,,,,,,,,,,,,22,Uncapped,0,,,,
Zach Lion-Cachet,International,Netherlands,Batsman,96,103.2,12.16,3,5,93,35,0,0,,,,,,,,,,,,20,Uncapped,0,,,,
Monank Patel,International,USA,Batsman,750,132,27.32,27,76,568,229,0,5,,,,,,,,,,,,32,Capped,0.32,,,,
Saiteja Mukkamalla,International,USA,Batsman,230,131.4,40.94,9,22,175,66,0,1,,,,,,,,,,,,21,Uncapped,0.03,,,,
Paul Stirling,International,Ireland,Batsman,2401,142.4,26.31,112,259,1686,491,2,14,,,,,,,,,,,,35,Capped,0.21,,,,
Ross Adair,International,Ireland,Batsman,457,135.6,23.95,25,44,337,162,1,1,,,,,,,,,,,,31,Capped,0,,,,
Harry Tector,International,Ireland,Batsman,3098,125,26.25,88,256,2480,765,0,13,,,,,,,,,,,,26,Capped,0.17,,,,
Brendan Taylor,International,Zimbabwe,Batsman,4322,134.2,27.01,116,423,3489,1276,3,26,,,,,,,,,,,,40,Capped,0.3,,,,
Tony Munyonga,International,Zimbabwe,Batsman,367,104.3,18.92,8,28,352,139,0,0,,,,,,,,,,,,28,Capped,0,,,,
Brian Benett,International,Zimbabwe,Batsman,1457,132.7,35.85,41,158,1098,418,0,8,,,,,,,,,,,,23,Capped,0,,,,
Kushal Bhurtel,International,Nepal,Batsman,1438,127.1,28.2,62,133,1131,484,1,10,,,,,,,,,,,,26,Capped,0.13,,,,
Sundeep Jora,International,Nepal,Batsman,404,122.8,19.48,18,22,329,120,0,4,,,,,,,,,,,,23,Uncapped,0.09,,,,
Player_1,International,England,Batsman,2387,135.33,29.35,90,209,1809,578,1,13,,,,,,,,,,,,31,Capped,2.19,,,,
Player_2,International,Afghanistan,Batsman,976,144.02,28.28,46,62,694,252,0,6,,,,,,,,,,,,21,Capped,1.43,,,,
Player_3,International,India,Batsman,1184,134.98,26.02,44,105,814,312,0,7,,,,,,,,,,,,28,Uncapped,2.09,,,,
Player_4,International,India,Batsman,1093,177.77,28.49,57,82,617,246,0,7,,,,,,,,,,,,28,Capped,11.02,,,,
Player_5,International,India,Batsman,1282,130.73,39.56,44,114,949,319,1,8,,,,,,,,,,,,26,Capped,2.2,,,,
Player_6,International,England,Batsman,2203,146.75,27.55,109,182,1472,482,1,11,,,,,,,,,,,,27,Capped,3.93,,,,
Player_7,International,India,Batsman,1848,141.27,28.98,76,171,1240,430,1,10,,,,,,,,,,,,29,Capped,6.33,,,,
Player_8,International,India,Batsman,1474,158.67,29.01,70,131,930,309,0,8,,,,,,,,,,,,28,Capped,9.45,,,,
Player_9,International,Australia,Batsman,1072,166.43,28.51,61,85,703,227,0,6,,,,,,,,,,,,28,Capped,5.6,,,,
Player_10,International,India,Batsman,1174,133.36,26.29,46,99,827,321,0,6,,,,,,,,,,,,28,Capped,1.57,,,,
Player_11,International,England,Batsman,3392,138.5,28.42,135,306,2437,799,2,20,,,,,,,,,,,,31,Capped,3.51,,,,
Player_12,International,India,Batsman,1036,127.76,24.93,35,94,719,295,0,6,,,,,,,,,,,,28,Uncapped,1.58,,,,
Player_13,International,England,Batsman,1932,133.96,27.68,83,171,1454,480,1,11,,,,,,,,,,,,27,Capped,1.65,,,,
Player_14,International,Australia,Batsman,503,175.03,27.86,34,35,295,78,0,3,,,,,,,,,,,,22,Capped,4.24,,,,
Player_15,International,Australia,Batsman,1779,133.06,28.93,65,150,1305,446,0,10,,,,,,,,,,,,31,Capped,1.8,,,,
Player_16,International,Afghanistan,Batsman,984,139.24,27.97,40,65,639,252,0,6,,,,,,,,,,,,23,Uncapped,1.26,,,,
Player_17,International,India,Batsman,3266,135.77,30.56,123,313,2462,801,1,23,,,,,,,,,,,,35,Capped,7.37,,,,
Player_18,International,England,Batsman,1981,136.89,28.73,83,173,1457,475,1,12,,,,,,,,,,,,28,Capped,3.25,,,,
Player_19,International,Australia,Batsman,2893,131.6,27.62,108,258,2106,746,0,18,,,,,,,,,,,,36,Capped,3.25,,,,
Player_20,International,India,Batsman,4310,135.23,31.42,169,421,3191,1089,1,31,,,,,,,,,,,,35,Capped,8.41,,,,
Player_21,International,England,Batsman,5660,135.24,29.06,180,561,4194,1324,4,34,,,,,,,,,,,,38,Capped,0,,,,
Player_22,International,Australia,Batsman,2831,133.78,30.13,102,268,2185,708,1,19,,,,,,,,,,,,35,Capped,5.04,,,,
Player_23,Domestic,India,Batsman,1638,106.46,90.24,34,148,1259,395,3,9,,,,,,,,,,,,22,Uncapped,2.7,,,,
Player_24,Domestic,India,Batsman,761,159.32,31.04,31,59,520,182,0,5,,,,,,,,,,,,22,Uncapped,1.37,,,,
Player_25,International,Australia,Batsman,1416,125.17,26.87,46,119,1116,380,0,8,,,,,,,,,,,,32,Capped,1.26,,,,
Player_26,International,India,Batsman,6231,136.07,33.19,245,593,4599,1566,3,45,,,,,,,,,,,,37,Capped,11.48,,,,
Player_27,International,India,Batsman,1022,124.63,24.84,35,92,709,287,0,5,,,,,,,,,,,,29,Uncapped,1.29,,,,
Player_28,International,Afghanistan,Batsman,1206,130.9,28.03,45,107,882,319,0,7,,,,,,,,,,,,27,Capped,1.23,,,,
Player_29,International,England,Batsman,3763,138.54,29.21,148,346,2802,896,2,24,,,,,,,,,,,,34,Capped,5.08,,,,
Player_30,Domestic,India,Batsman,1790,149.38,29.42,80,174,1154,435,0,11,,,,,,,,,,,,30,Uncapped,10.35,,,,
Player_31,International,India,Batsman,367,112.9,24.47,15,14,173,71,0,1,,,,,,,,,,,,24,Uncapped,0,,,,
Player_32,International,Australia,Batsman,1650,118.74,25.8,51,139,1317,413,0,8,,,,,,,,,,,,34,Capped,1.01,,,,
Player_33,International,England,Batsman,1508,136.87,28.03,67,122,1092,380,1,8,,,,,,,,,,,,26,Capped,1.26,,,,
Player_34,International,India,Batsman,2735,139.45,29.74,117,258,1956,696,0,19,,,,,,,,,,,,33,Capped,12.33,,,,
Player_35,International,India,Batsman,926,125.45,25.57,34,85,683,271,0,5,,,,,,,,,,,,28,Capped,1,,,,
Player_36,International,India,Batsman,1992,145.35,33.53,85,196,1383,455,1,13,,,,,,,,,,,,27,Capped,11.06,,,,
Player_37,International,India,Batsman,1891,142.28,28.86,85,158,1298,432,1,10,,,,,,,,,,,,28,Capped,4.66,,,,
Player_38,International,England,Batsman,8731,137.6,35.15,275,905,6336,2060,7,60,,,,,,,,,,,,36,Capped,6.49,,,,
Player_39,International,India,Batsman,990,127.05,24.83,36,88,730,281,0,6,,,,,,,,,,,,27,Uncapped,1.34,,,,
Player_40,International,India,Batsman,4463,138.08,32.34,182,413,3326,1137,1,33,,,,,,,,,,,,35,Capped,11.93,,,,
Player_41,International,England,Batsman,2844,133.03,27.79,97,255,2164,670,1,15,,,,,,,,,,,,33,Capped,0.92,,,,
Player_42,International,Australia,Batsman,1473,139.87,28.24,63,116,1027,347,0,8,,,,,,,,,,,,28,Capped,2.82,,,,
Player_43,International,India,Batsman,2941,162.25,30.3,159,255,1918,691,1,16,,,,,,,,,,,,29,Capped,16.79,,,,
Player_44,International,England,Batsman,2113,141.4,27.39,101,174,1503,478,1,11,,,,,,,,,,,,27,Capped,2.34,,,,
Player_45,Domestic,India,Batsman,826,137.94,23.61,30,74,588,212,0,5,,,,,,,,,,,,25,Uncapped,1.63,,,,
Player_46,International,India,Batsman,1129,123.86,48.44,36,102,777,276,1,7,,,,,,,,,,,,24,Uncapped,1.04,,,,
Player_47,International,India,Batsman,4126,137,32.42,148,389,3060,986,2,29,,,,,,,,,,,,34,Capped,9.3,,,,
Player_48,International,India,Batsman,1753,151.98,29.28,85,155,1173,383,1,10,,,,,,,,,,,,27,Capped,8.7,,,,
Player_49,Domestic,India,Batsman,848,140.88,20.72,36,75,594,202,0,5,,,,,,,,,,,,27,Uncapped,2.96,,,,
Player_50,International,India,Batsman,2231,137.08,31.98,83,200,1602,534,1,13,,,,,,,,,,,,29,Capped,5.54,,,,
Player_51,International,Australia,Batsman,1893,132.87,29.24,70,171,1462,484,1,11,,,,,,,,,,,,31,Capped,2.49,,,,
Player_52,International,Afghanistan,Batsman,791,128.48,25.01,30,65,591,231,0,4,,,,,,,,,,,,26,Capped,0.76,,,,
Player_53,International,Afghanistan,Batsman,952,150.69,28.36,46,73,644,216,0,6,,,,,,,,,,,,23,Capped,2.99,,,,
Player_54,Domestic,India,Batsman,2514,138.21,29.68,98,242,1794,615,1,16,,,,,,,,,,,,32,Uncapped,7.03,,,,
Player_55,International,England,Batsman,2566,135.43,28.75,97,234,1957,614,1,16,,,,,,,,,,,,32,Capped,3.46,,,,
Player_56,International,India,Batsman,6719,142.73,31.06,307,640,4738,1674,3,42,,,,,,,,,,,,35,Capped,12.08,,,,
Player_57,International,Sri Lanka,Batsman,620,114.32,23.49,20,53,439,202,0,2,,,,,,,,,,,,29,Capped,0.34,,,,
Player_58,International,India,Batsman,2831,136.12,28.41,113,268,2091,705,0,20,,,,,,,,,,,,34,Capped,6.04,,,,
Player_59,International,Sri Lanka,Batsman,1161,130.05,27.45,45,99,857,320,0,6,,,,,,,,,,,,28,Capped,1.09,,,,
Player_60,International,England,Batsman,3368,133.19,28.8,126,302,2557,829,2,20,,,,,,,,,,,,35,Capped,1.14,,,,
Player_61,International,Afghanistan,Batsman,1008,126.89,26.59,38,85,773,292,0,5,,,,,,,,,,,,27,Capped,0.67,,,,
Player_62,International,Australia,Batsman,4360,136.57,31.13,156,421,3205,1061,2,30,,,,,,,,,,,,35,Capped,5.99,,,,
Player_63,International,England,Batsman,1586,134.11,28.1,66,137,1188,400,1,9,,,,,,,,,,,,29,Capped,2.48,,,,
Player_64,International,South Africa,Batsman,4117,141.59,31.52,176,392,3050,1034,2,30,,,,,,,,,,,,34,Capped,7.89,,,,
Player_65,International,India,Batsman,2408,147.84,31.73,111,219,1716,596,1,16,,,,,,,,,,,,30,Capped,15.13,,,,
Player_66,International,Afghanistan,Batsman,611,118.55,23.88,21,56,442,200,0,3,,,,,,,,,,,,27,Capped,0.63,,,,
Player_67,International,India,Batsman,2385,139.74,31.37,101,236,1658,589,1,15,,,,,,,,,,,,32,Uncapped,9.5,,,,
Player_68,International,India,Batsman,666,127.57,22.8,24,55,523,195,0,4,,,,,,,,,,,,25,Uncapped,0.77,,,,
Player_69,Domestic,India,Batsman,1020,167.21,28.2,47,88,639,232,0,5,,,,,,,,,,,,27,Uncapped,6.68,,,,
Player_70,International,Afghanistan,Batsman,835,124.54,25.53,34,74,633,249,0,5,,,,,,,,,,,,26,Capped,0.94,,,,
Player_71,International,India,Batsman,3164,141.34,32.24,125,290,2247,738,2,20,,,,,,,,,,,,30,Capped,9.79,,,,
Player_72,International,Australia,Batsman,1358,130.61,29.16,50,122,1031,360,1,8,,,,,,,,,,,,28,Capped,1.35,,,,
Player_73,International,England,Batsman,1688,134.76,28.13,71,146,1265,411,1,10,,,,,,,,,,,,28,Capped,2.08,,,,
Player_74,Domestic,India,Batsman,1491,129.68,23.73,48,141,1094,386,0,8,,,,,,,,,,,,32,Uncapped,2.87,,,,
Player_75,International,India,Batsman,2159,135.33,27.55,83,195,1530,518,0,13,,,,,,,,,,,,32,Capped,4.03,,,,
Player_76,International,India,Batsman,1487,139.92,27.54,61,137,1003,357,0,8,,,,,,,,,,,,29,Capped,4.48,,,,
Player_77,International,India,Batsman,2508,149.05,30.34,116,218,1720,588,1,15,,,,,,,,,,,,30,Capped,13.16,,,,
Player_78,International,India,Batsman,4155,142.22,32.59,171,386,3048,1022,2,29,,,,,,,,,,,,32,Capped,13.13,,,,
Player_79,International,India,Batsman,3724,151.86,29.88,191,345,2550,880,2,22,,,,,,,,,,,,31,Capped,10.7,,,,
Player_80,International,India,Batsman,2438,141.3,30.95,100,234,1776,565,1,16,,,,,,,,,,,,29,Capped,9.4,,,,
Player_81,International,India,Batsman,1888,143.98,28.78,85,166,1316,414,1,10,,,,,,,,,,,,29,Capped,6.8,,,,
Player_82,International,Australia,Batsman,1623,128.08,28.19,56,138,1229,429,0,9,,,,,,,,,,,,32,Capped,1.15,,,,
Player_83,International,India,Batsman,1487,137.38,27.37,60,127,997,375,0,8,,,,,,,,,,,,30,Capped,2.92,,,,
Player_84,Domestic,India,Batsman,650,122.94,21.96,22,52,460,175,0,2,,,,,,,,,,,,27,Uncapped,1.38,,,,
Player_85,International,Australia,Batsman,1766,141.07,28.41,78,146,1264,407,0,10,,,,,,,,,,,,29,Capped,3.51,,,,
Player_86,Domestic,India,Batsman,1018,164.18,37.89,42,99,737,211,1,6,,,,,,,,,,,,22,Uncapped,3.98,,,,
Player_87,International,South Africa,Batsman,4623,137.45,31.34,191,431,3457,1172,1,34,,,,,,,,,,,,37,Capped,4.76,,,,
Player_88,Domestic,India,Batsman,1750,129.73,26,68,160,1257,484,0,11,,,,,,,,,,,,33,Uncapped,3.17,,,,
Player_89,International,England,Batsman,4135,139.84,28.68,179,373,2960,989,2,24,,,,,,,,,,,,33,Capped,2.17,,,,
Player_90,International,India,Batsman,1311,150.03,30,67,110,925,302,1,7,,,,,,,,,,,,23,Capped,4.63,,,,
Player_91,International,England,Batsman,1176,133.25,26.94,52,98,912,324,0,6,,,,,,,,,,,,26,Capped,1.21,,,,
Player_92,International,Afghanistan,Batsman,1064,131.28,26.54,44,76,829,302,0,6,,,,,,,,,,,,23,Capped,0.27,,,,
Player_93,International,Netherlands,Batsman,328,115.04,18.73,11,18,212,108,0,1,,,,,,,,,,,,22,Uncapped,0.27,,,,
Player_94,International,Afghanistan,Batsman,1125,131.5,27.28,45,88,845,310,0,6,,,,,,,,,,,,24,Capped,0.44,,,,
Player_95,International,Australia,Batsman,1948,134.9,28.4,78,166,1440,470,1,11,,,,,,,,,,,,31,Capped,2.89,,,,
Player_96,International,England,Batsman,1930,134.42,27.9,79,169,1469,474,1,11,,,,,,,,,,,,28,Capped,1.96,,,,
Player_97,International,Sri Lanka,Batsman,896,117.38,25.9,30,79,684,269,0,3,,,,,,,,,,,,29,Capped,0,,,,
Player_98,International,New Zealand,Batsman,3474,161.04,27.63,191,318,2136,759,3,15,,,,,,,,,,,,27,Capped,6.14,,,,
Player_99,International,England,Batsman,9563,137.94,34.6,307,971,6987,2190,8,64,,,,,,,,,,,,36,Capped,6.01,,,,
Player_100,International,England,Batsman,1523,132.86,29.07,60,134,1170,396,1,8,,,,,,,,,,,,26,Capped,0.9,,,,
Player_101,International,India,Batsman,2329,152.56,30.26,116,214,1538,519,2,12,,,,,,,,,,,,27,Capped,7.16,,,,
Player_102,International,Australia,Batsman,2220,128.86,26.82,77,198,1653,557,0,13,,,,,,,,,,,,35,Capped,2.55,,,,
Player_103,International,England,Batsman,1682,132.03,27.81,68,142,1269,426,1,10,,,,,,,,,,,,29,Capped,1.9,,,,
Player_104,International,England,Batsman,7403,137.93,33.82,248,729,5379,1745,6,50,,,,,,,,,,,,35,Capped,6.24,,,,
Player_105,International,England,Batsman,2750,132.51,27.62,101,242,2102,670,1,16,,,,,,,,,,,,34,Capped,1.33,,,,
Player_106,International,India,Batsman,957,127.91,25.36,33,78,657,267,0,5,,,,,,,,,,,,27,Uncapped,1.32,,,,
Player_107,International,India,Batsman,610,113.21,21.58,21,51,377,196,0,2,,,,,,,,,,,,30,Capped,0.92,,,,
Player_108,International,England,Batsman,3746,138.44,30.16,144,341,2772,898,2,25,,,,,,,,,,,,33,Capped,6.36,,,,
Player_109,Domestic,India,Batsman,949,168.12,34.01,45,82,591,198,1,5,,,,,,,,,,,,22,Uncapped,3.83,,,,
Player_110,International,Sri Lanka,Batsman,1203,129.5,27.58,45,107,926,329,0,7,,,,,,,,,,,,28,Capped,1.15,,,,
Player_111,International,Afghanistan,Batsman,1003,126.55,26.84,39,86,756,277,0,5,,,,,,,,,,,,26,Capped,0.03,,,,
Player_112,International,India,Batsman,1305,142.84,29.71,59,102,857,308,1,7,,,,,,,,,,,,27,Capped,4.07,,,,
Player_113,International,England,Batsman,2341,132.95,27.97,90,199,1705,560,1,13,,,,,,,,,,,,31,Capped,2.19,,,,
Player_114,International,England,Batsman,6794,137.2,31.45,221,695,4987,1599,5,45,,,,,,,,,,,,36,Capped,2.92,,,,
Player_115,International,Sri Lanka,Batsman,1047,128.3,26.68,40,92,792,287,0,6,,,,,,,,,,,,27,Capped,1.09,,,,
Player_116,International,England,Batsman,4802,133.23,28.02,144,464,3583,1083,4,25,,,,,,,,,,,,35,Capped,0,,,,
Player_117,International,Australia,Batsman,1932,128.04,30.11,60,170,1504,475,1,10,,,,,,,,,,,,32,Capped,1.61,,,,
Player_118,International,India,Batsman,2633,153.09,31.08,130,243,1843,623,1,15,,,,,,,,,,,,29,Capped,12.22,,,,
Player_119,International,India,Batsman,1265,134.56,29.16,47,110,846,326,0,7,,,,,,,,,,,,27,Uncapped,3.09,,,,
Player_120,International,India,Batsman,3380,134.84,29.61,132,324,2469,844,1,23,,,,,,,,,,,,35,Capped,6.96,,,,
Player_121,International,England,Batsman,1596,138.76,27.86,72,129,1140,377,1,9,,,,,,,,,,,,27,Capped,3.01,,,,
Player_122,International,South Africa,Batsman,4315,145.81,27.53,210,395,2976,1015,2,24,,,,,,,,,,,,32,Capped,2.94,,,,
Player_123,International,Australia,Batsman,1162,143.07,27.86,53,94,847,279,0,6,,,,,,,,,,,,28,Capped,3.04,,,,
Player_124,International,India,Batsman,1145,163.43,35.54,50,110,736,214,1,6,,,,,,,,,,,,23,Capped,6.56,,,,
Player_125,Domestic,India,Batsman,657,178.02,28.5,33,63,485,157,0,4,,,,,,,,,,,,25,Uncapped,3.73,,,,
Player_126,Domestic,India,Batsman,742,145.14,24.58,31,56,571,194,0,6,,,,,,,,,,,,23,Uncapped,1.38,,,,
Player_127,International,England,Batsman,11713,146.05,33.58,438,1305,8147,2822,8,78,,,,,,,,,,,,37,Capped,0.81,,,,
Player_128,International,New Zealand,Batsman,3810,169.68,26.6,233,365,2318,813,2,15,,,,,,,,,,,,29,Capped,4.09,,,,
Player_129,International,South Africa,Batsman,5352,139.5,30.23,224,509,3831,1310,3,35,,,,,,,,,,,,35,Capped,3.38,,,,
Player_130,International,India,Batsman,2359,145.44,31.67,108,219,1635,538,2,13,,,,,,,,,,,,27,Capped,7.96,,,,
Player_131,International,India,Batsman,2519,146.37,32.02,108,226,1750,589,2,16,,,,,,,,,,,,27,Capped,14.55,,,,
Player_132,International,Australia,Batsman,1101,134.31,27.3,44,93,845,287,0,7,,,,,,,,,,,,27,Capped,1.9,,,,
Player_133,International,Australia,Batsman,1402,129.78,27.77,52,119,1041,378,0,8,,,,,,,,,,,,31,Capped,1.75,,,,
Player_134,International,Australia,Batsman,2819,132.83,29.25,109,248,2140,714,0,18,,,,,,,,,,,,36,Capped,2.55,,,,
Player_135,International,England,Batsman,1390,127.92,26.34,62,113,1074,377,1,8,,,,,,,,,,,,27,Capped,0.57,,,,
Player_136,International,England,Batsman,2085,128.2,26.8,82,180,1622,518,1,11,,,,,,,,,,,,32,Capped,0.75,,,,
Player_137,International,Australia,Batsman,2244,133.58,31.14,77,216,1722,557,1,14,,,,,,,,,,,,31,Capped,3.28,,,,
Player_138,International,India,Batsman,1256,130.13,26.53,46,113,880,334,0,7,,,,,,,,,,,,28,Capped,1.58,,,,
Player_139,Domestic,India,Batsman,1350,143.54,36.53,52,114,905,312,1,8,,,,,,,,,,,,25,Uncapped,4.33,,,,
Player_140,International,England,Batsman,2578,135.84,28.46,107,229,1962,638,1,15,,,,,,,,,,,,32,Capped,2.4,,,,
Player_141,International,India,Batsman,1026,134.56,25.92,41,84,713,266,0,6,,,,,,,,,,,,27,Uncapped,1.86,,,,
Player_142,International,India,Batsman,9426,130.64,38.51,350,870,6981,2359,6,67,,,,,,,,,,,,38,Capped,24.23,,,,
